km,abs,airco,price,radio,tow_bar,cd_player,met_color,mistlamps,sport_model,central_lock,metallic_rim,mfr_guarantee,bovag_guarantee,backseat_divider,age_08_04_calculada,fuel_type_encoded
130062.0,1,1,11750.0,0,1,0,1,0,0,0,0,0,1,1,39,1
123425.0,1,1,13250.0,0,0,1,1,0,0,1,0,0,1,1,40,1
118217.0,1,1,11950.0,0,0,1,1,0,0,1,0,0,1,1,36,2
110000.0,1,1,11900.0,0,0,0,1,0,0,1,0,0,0,0,43,1
108847.0,1,1,14750.0,0,1,0,1,1,0,1,0,0,1,1,38,1
105699.0,1,0,9950.0,0,0,0,1,0,0,0,0,0,1,1,41,2
98823.0,1,1,11950.0,0,1,1,1,0,0,1,0,1,1,1,38,0
96829.0,1,1,11495.0,0,0,1,1,0,0,0,1,1,1,1,43,2
96518.0,1,1,11250.0,1,1,0,1,0,0,0,0,0,1,0,39,2
92204.0,1,1,10500.0,0,0,0,1,0,0,1,0,1,1,1,41,2
91456.0,1,1,10450.0,0,0,0,1,1,0,1,0,0,1,1,34,1
89968.0,0,0,12950.0,1,0,0,1,0,0,1,1,0,0,1,42,1
89757.0,1,1,11500.0,0,0,1,1,1,1,1,1,1,1,1,43,2
85389.0,1,1,12500.0,0,0,0,1,0,0,1,0,0,1,1,39,2
85017.0,1,0,10950.0,0,0,1,0,0,0,0,0,1,1,1,42,2
84312.0,1,1,11450.0,0,0,0,0,1,0,1,0,0,1,1,40,2
82743.0,1,1,11950.0,0,0,1,1,1,0,1,0,1,1,1,36,0
81106.0,1,1,13250.0,0,0,0,1,0,0,1,0,0,1,1,40,1
80425.0,1,1,14750.0,0,0,1,1,1,0,1,0,0,1,1,39,1
78677.0,1,1,11790.0,0,1,1,1,0,0,1,0,0,1,1,33,2
78425.0,1,0,11450.0,0,1,1,1,0,0,0,0,0,1,1,39,2
78108.0,1,1,13500.0,0,0,0,1,1,0,1,0,1,1,1,32,1
77321.0,1,1,10950.0,0,0,0,1,0,0,1,0,0,1,1,32,2
75699.0,1,1,13500.0,1,0,0,0,0,0,1,0,1,1,1,32,1
75697.0,1,0,10950.0,0,0,0,1,0,0,0,0,1,1,1,40,2
74846.0,1,0,10950.0,0,0,0,1,0,0,1,1,1,1,1,43,2
74319.0,1,1,12950.0,0,1,1,1,0,0,1,0,1,1,1,37,2
74285.0,0,0,11950.0,1,1,0,1,0,0,0,0,0,1,0,42,2
74172.0,0,1,12450.0,0,0,1,1,0,0,1,0,1,1,1,43,2
73042.0,1,1,11950.0,0,1,1,1,0,0,1,0,1,1,1,39,2
71200.0,1,1,12450.0,0,0,1,1,0,0,0,0,0,1,1,34,2
67805.0,1,1,12950.0,0,0,1,1,0,0,0,0,1,1,1,37,2
65988.0,1,0,11950.0,1,0,0,1,0,0,0,0,1,1,1,34,2
65345.0,1,1,11690.0,0,1,1,1,0,0,1,0,1,1,1,33,2
64564.0,1,1,12450.0,0,0,1,1,1,0,1,0,1,1,1,41,2
63459.0,1,1,12750.0,0,0,1,1,0,0,1,1,1,1,1,35,2
63451.0,1,0,11925.0,0,0,0,0,0,0,0,0,1,1,1,43,2
62000.0,1,1,12950.0,1,0,0,1,0,0,1,0,1,0,0,32,2
61300.0,1,1,11950.0,0,0,1,1,1,0,1,0,1,1,1,41,2
61200.0,1,1,12900.0,0,0,1,1,1,0,1,1,1,1,1,40,2
61000.0,1,0,11900.0,0,0,0,0,0,0,0,0,0,1,1,40,2
60829.0,1,0,11650.0,0,0,0,1,0,0,0,0,1,1,1,37,2
60500.0,0,0,10950.0,0,0,0,0,0,0,0,0,1,1,0,43,2
59500.0,1,1,13950.0,1,0,0,1,0,0,1,0,1,0,0,34,1
59000.0,1,1,13950.0,0,0,0,0,1,0,1,0,0,1,1,43,2
58954.0,1,1,11950.0,1,0,0,1,0,0,1,0,0,1,0,39,2
58798.0,1,0,10950.0,0,0,0,1,0,0,0,0,1,1,1,37,2
58363.0,1,1,12450.0,0,0,1,1,1,1,1,1,0,1,1,37,2
58277.0,1,1,11950.0,0,0,0,1,1,0,1,0,0,1,1,42,2
57711.0,1,1,13500.0,1,0,0,1,0,0,0,0,1,1,1,32,1
57269.0,1,1,11690.0,1,0,0,1,0,0,1,0,1,1,1,32,2
56001.0,1,1,13500.0,0,1,0,1,0,0,1,0,1,1,1,38,2
55968.0,1,1,11950.0,0,0,0,0,0,1,0,0,1,1,1,41,2
55678.0,1,1,12900.0,0,1,1,1,0,0,1,1,1,1,1,38,2
55539.0,1,1,13500.0,1,0,0,1,0,1,0,0,1,1,1,42,2
55400.0,0,0,11750.0,0,1,1,0,0,0,0,0,1,1,1,41,2
